,wals code,glottocode,name,latitude,longitude,macroarea,genus,family,sample 100,sample 200
77,aln,alun1238,Alune,-3.0,128.333333333,Papunesia,Central Malayo-Polynesian,Austronesian,False,False
78,als,alse1251,Alsea,44.6666666667,-123.916666667,North America,Alsea,Oregon Coast,False,False
79,alt,swis1247,Alsatian,48.5,7.5,Eurasia,Germanic,Indo-European,False,False
80,alu,alut1245,Alutor,61.0,165.0,Eurasia,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,False,False
81,alw,alaw1244,Alawa,-15.1666666667,134.25,Australia,Alawa,Mangarrayi-Maran,False,False
82,alx,bata1292,Alas,3.66666666667,97.8333333333,Papunesia,Northwest Sumatra-Barrier Islands,Austronesian,False,False
83,aly,alya1239,Alyawarra,-22.5,135.0,Australia,Central Pama-Nyungan,Pama-Nyungan,False,False
84,ama,amar1272,Amara,-5.66666666667,148.5,Papunesia,Oceanic,Austronesian,False,False
85,amb,ambu1247,Ambulas,-3.83333333333,143.0,Papunesia,Ndu,Sepik,False,False
86,amc,amah1246,Amahuaca,-10.5,-72.5,South America,Panoan,Panoan,False,False
87,amd,amdo1237,Amdo,35.0,100.0,Eurasia,Bodic,Sino-Tibetan,False,False
88,ame,amel1241,Amele,-5.25,145.583333333,Papunesia,Madang,Trans-New Guinea,True,True
89,amh,amha1245,Amharic,10.0,38.0,Africa,Semitic,Afro-Asiatic,False,False
90,ami,amis1246,Amis,23.3333333333,121.333333333,Papunesia,East Formosan,Austronesian,False,False
91,amk,amar1274,Amarakaeri,-12.5,-70.5,South America,Harakmbet,Harakmbet,False,False
92,aml,east2443,Ambae (Lolovoli Northeast),-15.4166666667,167.883333333,Papunesia,Oceanic,Austronesian,False,False
93,amm,amap1240,Ama,-4.21666666667,141.616666667,Papunesia,Left May,Left May,False,False
94,amn,aman1265,Amanab,-3.58333333333,141.25,Papunesia,Border,Border,False,False
95,amo,amoo1242,Amo,10.3333333333,8.66666666667,Africa,Kainji,Niger-Congo,False,False
96,amp,east2379,Arrernte (Mparntwe),-24.0,136.0,Australia,Central Pama-Nyungan,Pama-Nyungan,False,False
97,amq,amba1265,Ambai,-1.83333333333,136.5,Papunesia,South Halmahera - West New Guinea,Austronesian,False,False
98,amr,moro1292,Arabic (Moroccan),34.0,-6.0,Africa,Semitic,Afro-Asiatic,False,False
99,ams,stan1318,Arabic (Modern Standard),25.0,42.0,Eurasia,Semitic,Afro-Asiatic,False,False
100,amt,None,Amdo (Themchen),38.0,98.0,Eurasia,Bodic,Sino-Tibetan,False,False
101,amu,yane1238,Amuesha,-10.5,-75.4166666667,South America,Yanesha',Arawakan,False,False
102,amx,anam1248,Anamuxra,-4.66666666667,145.0,Papunesia,Madang,Trans-New Guinea,False,False
103,amz,guer1243,Amuzgo,16.8333333333,-98.0,North America,Amuzgoan,Oto-Manguean,False,False
104,ana,arao1248,Araona,-12.3333333333,-67.75,South America,Tacanan,Tacanan,False,True
105,anc,ngas1240,Angas,9.5,9.5,Africa,West Chadic,Afro-Asiatic,False,False
106,ane,anem1249,Anêm,-5.58333333333,149.083333333,Papunesia,Anêm,Anêm,False,False
107,ang,ango1254,Anggor,-3.75,141.166666667,Papunesia,Senagi,Senagi,False,False
108,ani,anii1246,//Ani,-18.9166666667,21.9166666667,Africa,Khoe-Kwadi,Khoe-Kwadi,False,False
109,anj,anei1239,Anejom,-20.2,169.8,Papunesia,Oceanic,Austronesian,False,False
110,anl,None,Arabic (North Levantine Spoken),33.75,36.0,Eurasia,Semitic,Afro-Asiatic,False,False
111,ann,anin1240,Anindilyakwa,-14.0,136.5,Australia,Anindilyakwa,Gunwinyguan,False,False
112,ano,nung1282,Anong,27.3333333333,98.75,Eurasia,Nungish,Sino-Tibetan,False,False
113,ant,anga1290,Angaataha,-7.21666666667,146.25,Papunesia,Angan,Trans-New Guinea,False,False
114,anu,anuf1239,Anufo,10.0833333333,0.25,Africa,Kwa,Niger-Congo,False,False
115,anx,andi1255,Andi,42.75,46.25,Eurasia,Avar-Andic-Tsezic,Nakh-Daghestanian,False,False
116,any,anua1242,Anywa,8.0,33.5,Africa,Nilotic,Eastern Sudanic,False,False
117,ao,aona1235,Ao,26.5833333333,94.6666666667,Eurasia,Kuki-Chin,Sino-Tibetan,False,False
118,aoj,mufi1238,Mufian,-3.5,143.0,Papunesia,Kombio-Arapesh,Torricelli,False,False
119,apa,sout3123,Arabic (Palestinian),32.0,35.25,Eurasia,Semitic,Afro-Asiatic,False,False
120,apc,mesc1238,Apache (Chiricahua),33.25,-108.0,North America,Athapaskan,Na-Dene,False,False
121,ape,safe1240,Ampeeli,-6.75,146.083333333,Papunesia,Angan,Trans-New Guinea,False,False
122,api,apin1244,Apinayé,-5.5,-48.0,South America,Ge-Kaingang,Macro-Ge,False,False
123,apj,jica1244,Apache (Jicarilla),36.5833333333,-104.0,North America,Athapaskan,Na-Dene,False,False
124,apk,apuc1241,A-Pucikwar,12.1666666667,92.8333333333,Eurasia,Great Andamanese,Great Andamanese,False,False
125,apl,apal1257,Apalaí,0.0,-54.0,South America,Cariban,Cariban,False,False
126,apt,apat1240,Apatani,27.5,93.75,Eurasia,Tani,Sino-Tibetan,False,False
127,apu,apur1254,Apurinã,-9.0,-67.0,South America,Purus,Arawakan,True,True
128,apw,west2615,Apache (Western),33.75,-110.0,North America,Athapaskan,Na-Dene,False,False
129,ara,araw1276,Arawak,5.5,-55.1666666667,South America,Caribbean Arawakan,Arawakan,False,False
130,arb,arab1268,Arabela,-2.0,-75.1666666667,South America,Zaparoan,Zaparoan,False,False
131,arc,arch1244,Archi,42.0,46.8333333333,Eurasia,Lezgic,Nakh-Daghestanian,False,False
132,ard,aran1237,Arandai,-2.08333333333,133.0,Papunesia,South Bird's Head Proper,South Bird's Head,False,False
133,arg,gulf1241,Arabic (Gulf),26.0,49.0,Eurasia,Semitic,Afro-Asiatic,False,False
134,arh,hija1235,Arabic (Hijazi),26.0,38.0,Eurasia,Semitic,Afro-Asiatic,False,False
135,ari,arib1241,Aribwatsa,-6.71666666667,147.0,Papunesia,Oceanic,Austronesian,False,False
136,arj,None,Arabic (Kuwaiti),29.5,47.5,Eurasia,Semitic,Afro-Asiatic,False,False
137,ark,arak1252,Araki,-15.6666666667,166.916666667,Papunesia,Oceanic,Austronesian,False,False
138,arl,None,Arabic (Lebanese),34.0,36.0,Eurasia,Semitic,Afro-Asiatic,False,False
139,arm,nucl1235,Armenian (Eastern),40.0,45.0,Eurasia,Armenian,Indo-European,False,True
140,arn,None,Arabic (Borno Nigerian),8.58333333333,12.4166666667,Africa,Semitic,Afro-Asiatic,False,False
141,aro,aros1241,Arosi,-10.25,161.333333333,Papunesia,Oceanic,Austronesian,False,False
142,arp,buki1249,Arapesh (Mountain),-3.46666666667,143.166666667,Papunesia,Kombio-Arapesh,Torricelli,True,True
143,arq,meso1252,Arabic (Iraqi),33.0,44.0,Eurasia,Semitic,Afro-Asiatic,False,False
144,arr,None,Arrernte,-24.0,134.0,Australia,Central Pama-Nyungan,Pama-Nyungan,False,False
145,ars,sana1295,Arabic (San'ani),16.0,44.0,Eurasia,Semitic,Afro-Asiatic,False,False
146,arv,None,Arabic (Negev),30.5,34.75,Eurasia,Semitic,Afro-Asiatic,False,False
147,arw,None,Armenian (Western),38.5,43.5,Eurasia,Armenian,Indo-European,False,False
148,arx,area1240,'Are'are,-9.25,161.166666667,Papunesia,Oceanic,Austronesian,False,False
149,arz,None,Armenian (Iranian),32.6666666667,51.6666666667,Eurasia,Armenian,Indo-European,False,False
150,ash,None,Adyghe (Shapsugh),45.0,38.75,Eurasia,Northwest Caucasian,Northwest Caucasian,False,False
151,asl,amer1248,American Sign Language,39.0,-78.0,North America,Sign Languages,other,False,False
152,asm,tamn1235,Asmat,-5.5,138.5,Papunesia,Asmat-Kamoro,Trans-New Guinea,True,True
153,aso,sout2694,Altai (Southern),51.0,87.0,Eurasia,Turkic,Altaic,False,False
154,ass,assa1263,Assamese,26.0,93.0,Eurasia,Indic,Indo-European,False,False
155,ast,astu1245,Asturian,43.25,-6.0,Eurasia,Romance,Indo-European,False,False
156,asu,toca1235,Asuriní,-3.5,-49.5,South America,Tupi-Guaraní,Tupian,False,False
157,asy,None,Arabic (Syrian),34.0,38.0,Eurasia,Semitic,Afro-Asiatic,False,False
158,ata,atay1247,Atayal,24.5,121.333333333,Papunesia,Atayalic,Austronesian,False,False
159,atb,aral1243,Aralle-Tabulahan,-2.75,119.25,Papunesia,South Sulawesi,Austronesian,False,False
160,atc,urip1239,Atchin,-16.0,167.333333333,Papunesia,Oceanic,Austronesian,False,False
161,ath,athp1241,Athpare,27.0,87.3333333333,Eurasia,Mahakiranti,Sino-Tibetan,False,False
162,ati,atik1240,Atikamekw,48.0,-74.0,North America,Algonquian,Algic,False,False
163,atk,atak1252,Atakapa,30.0,-93.5,North America,Atakapa,Atakapa,False,False
164,atm,kunz1244,Atacameño,-23.0,-69.0,South America,Kunza,Kunza,False,False
165,atq,paci1278,Alutiiq,57.0,-157.0,North America,Eskimo,Eskimo-Aleut,False,False
166,ats,atsu1245,Atsugewi,40.75,-121.0,North America,Palaihnihan,Hokan,False,False
167,atu,tuni1259,Arabic (Tunisian),36.75,10.25,Africa,Semitic,Afro-Asiatic,False,False
168,au,auuu1241,Au,-3.58333333333,142.083333333,Papunesia,Wapei-Palei,Torricelli,False,False
169,aul,aulu1238,Aulua,-16.3333333333,167.666666667,Papunesia,Oceanic,Austronesian,False,False
170,aus,aust1271,Auslan,-30.0,145.0,Australia,Sign Languages,other,False,False
171,auy,awiy1238,Auyana,-6.5,145.75,Papunesia,Eastern Highlands,Trans-New Guinea,False,False
172,ava,avar1256,Avar,42.5,46.5,Eurasia,Avar-Andic-Tsezic,Nakh-Daghestanian,False,False
173,avk,avik1243,Avikam,5.16666666667,-5.5,Africa,Kwa,Niger-Congo,False,False
174,avo,avok1242,Avokaya,4.66666666667,30.0,Africa,Moru-Ma'di,Central Sudanic,False,False
175,avt,avat1244,Avatime,6.83333333333,0.416666666667,Africa,Kwa,Niger-Congo,False,False
176,awa,awap1236,Awa,-6.66666666667,145.75,Papunesia,Eastern Highlands,Trans-New Guinea,False,False
177,awd,awad1243,Awadhi,27.5,81.5,Eurasia,Indic,Indo-European,False,False
178,awe,west2441,Arrernte (Western),-24.0,132.5,Australia,Central Pama-Nyungan,Pama-Nyungan,False,False
179,awi,aeky1238,Aekyom,-5.75,141.416666667,Papunesia,Awin-Pare,Awin-Pare,False,False
180,awk,pong1250,Akwa,10.0833333333,6.33333333333,Africa,Kainji,Niger-Congo,False,False
181,awn,awng1244,Awngi,10.8333333333,36.6666666667,Africa,Central Cushitic,Afro-Asiatic,False,False
182,awp,awac1239,Awa Pit,1.5,-78.25,South America,Barbacoan,Barbacoan,False,True
183,awt,awtu1239,Awtuw,-3.58333333333,142.0,Papunesia,Ram,Sepik,False,False
184,awy,awyi1241,Awyi,-2.91666666667,140.583333333,Papunesia,Border,Border,False,False
185,axv,akhv1239,Akhvakh,42.3333333333,46.3333333333,Eurasia,Avar-Andic-Tsezic,Nakh-Daghestanian,False,False
186,ayi,anyi1245,Anyi,7.0,-3.5,Africa,Kwa,Niger-Congo,False,False
187,aym,cent2142,Aymara (Central),-17.0,-69.0,South America,Aymaran,Aymaran,False,True
188,ayn,ainu1251,Aynu,39.5,76.0,Eurasia,Turkic,Altaic,False,False
189,ayr,ayor1240,Ayoreo,-20.25,-59.25,South America,Zamucoan,Zamucoan,False,False
190,ayw,ayiw1239,Ayiwo,-10.3333333333,166.25,Papunesia,Oceanic,Austronesian,False,False
191,aze,None,Azerbaijani,40.5,48.5,Eurasia,Turkic,Altaic,False,False
192,azi,sout2697,Azari (Iranian),37.5,47.0,Eurasia,Turkic,Altaic,False,False
193,baa,bara1377,Barai,-9.33333333333,148.083333333,Papunesia,Koiarian,Trans-New Guinea,False,False
194,bab,veng1238,Babungo,6.11666666667,10.4166666667,Africa,Bantoid,Niger-Congo,False,False
195,bac,wadj1254,Bachamal,-13.1666666667,130.166666667,Australia,Anson Bay,Anson Bay,False,False
196,bad,bade1248,Bade,12.8333333333,10.5,Africa,West Chadic,Afro-Asiatic,False,False
197,bae,bare1276,Baré,1.0,-67.0,South America,Inland Northern Arawakan,Arawakan,False,False
198,baf,bafu1246,Bafut,6.25,9.91666666667,Africa,Bantoid,Niger-Congo,False,False
199,bag,bagi1246,Bagirmi,11.6666666667,16.0,Africa,Bongo-Bagirmi,Central Sudanic,True,True
200,bah,xiri1243,Xiriana,2.66666666666667,-62.5,None,Bahuanic,Arawakan,False,False
201,bai,cent2004,Bai,26.0,100.0,Eurasia,Bai,Sino-Tibetan,False,False
202,baj,indo1317,Bajau (Sama),-4.33333333333,123.0,Papunesia,Sama-Bajaw,Austronesian,False,False
203,bak,baka1272,Baka (in Cameroon),2.58333333333,13.5833333333,Africa,Ubangi,Niger-Congo,False,False
204,bal,bali1278,Balinese,-8.33333333333,115.25,Papunesia,Malayo-Sumbawan,Austronesian,False,False
205,bam,bamb1269,Bambara,12.5,-7.5,Africa,Western Mande,Mande,False,True
206,ban,bana1305,Bana,10.4166666667,13.5833333333,Africa,Biu-Mandara,Afro-Asiatic,False,False
207,bao,bona1250,Bao'an,35.75,102.833333333333,Eurasia,Mongolic,Altaic,False,False
208,baq,baur1253,Baure,-13.0833333333,-64.1666666667,South America,Bolivia-Parana,Arawakan,False,False
209,bar,bari1284,Bari,5.0,31.6666666667,Africa,Nilotic,Eastern Sudanic,False,False
210,bas,basa1284,Basaá,3.91666666667,10.5,Africa,Bantoid,Niger-Congo,False,False
211,bat,bata1301,Batak,10.25,119.083333333,Papunesia,Greater Central Philippine,Austronesian,False,False
212,bau,bauu1244,Bau,-5.25,145.616666667,Papunesia,Madang,Trans-New Guinea,False,False
213,baw,bawm1236,Bawm,22.5,92.25,Eurasia,Kuki-Chin,Sino-Tibetan,False,True
214,bbf,None,Bobo Madaré (Northern),12.4166666666667,-4.3333333333333,Africa,Western Mande,Mande,False,False
215,bbl,dibo1245,Babole,1.08333333333,17.25,Africa,Bantoid,Niger-Congo,False,False
216,bbm,bamb1270,Bambam,-3.08333333333,119.083333333,Papunesia,South Sulawesi,Austronesian,False,False
217,bbu,bara1361,Barambu,3.5,27.0,Africa,Ubangi,Niger-Congo,False,False
218,bbw,gunw1252,Bininj Gun-Wok,-12.5,133.75,Australia,Gunwinygic,Gunwinyguan,False,False
219,bca,band1339,Bandjalang (Casino),-28.9166666667,153.0,Australia,Southeastern Pama-Nyungan,Pama-Nyungan,False,False
220,bch,tach1249,Berber (Chaouia),35.0,7.0,Africa,Berber,Afro-Asiatic,False,False
221,bco,bell1243,Bella Coola,52.5,-126.666666667,North America,Bella Coola,Salishan,False,False
222,bdc,berb1259,Berbice Dutch Creole,5.33333333333,-58.0,South America,Creoles and Pidgins,other,False,False
223,bdg,bada1257,Badaga,11.6666666667,76.75,Eurasia,Southern Dravidian,Dravidian,False,False
224,bdk,budu1248,Budukh,41.1666666667,48.4166666667,Eurasia,Lezgic,Nakh-Daghestanian,False,False
225,bdm,badi1246,Badimaya,-27.6666666667,118.0,Australia,Western Pama-Nyungan,Pama-Nyungan,False,False
226,bdu,budu1250,Budu,2.0,28.0,Africa,Bantoid,Niger-Congo,False,False
227,bdw,baha1258,Baham,-3.16666666667,132.666666667,Papunesia,West Bomberai,West Bomberai,False,False
228,beb,bena1264,Benabena,-6.16666666667,145.5,Papunesia,Eastern Highlands,Trans-New Guinea,False,False
229,bec,chit1275,Bengali (Chittagong),22.3333333333,91.8333333333,Eurasia,Indic,Indo-European,False,False
230,bee,beem1239,Beembe,-3.91666666667,14.0833333333,Africa,Bantoid,Niger-Congo,False,False
231,beg,idaa1241,Begak-Ida'an,5.25,118.833333333,Papunesia,North Borneo,Austronesian,False,False
232,bej,beja1238,Beja,18.0,36.0,Africa,Beja,Afro-Asiatic,False,True
233,bel,belh1239,Belhare,26.9666666667,87.3,Eurasia,Mahakiranti,Sino-Tibetan,False,False
234,bem,bemb1257,Bemba,-10.0,28.25,Africa,Bantoid,Niger-Congo,False,False
235,ben,beng1280,Bengali,24.0,90.0,Eurasia,Indic,Indo-European,False,False
236,beo,beot1247,Beothuk,48.0,-57.0,North America,Beothuk,Beothuk,False,False
237,ber,bert1248,Berta,10.3333333333,34.6666666667,Africa,Berta,Berta,False,False
238,bet,dalo1238,Bété,6.25,-6.25,Africa,Kru,Niger-Congo,False,False
239,bez,bezh1248,Bezhta,42.0833333333,46.1666666667,Eurasia,Avar-Andic-Tsezic,Nakh-Daghestanian,False,False
240,bfd,biaf1240,Biafada,11.4166666667,-15.1666666667,Africa,Biafada,Niger-Congo,False,False
241,bfi,bafi1243,Bafia,5.0,11.1666666667,Africa,Bantoid,Niger-Congo,False,False
242,bga,beng1282,Benga,1.16666666667,9.41666666667,Africa,Bantoid,Niger-Congo,False,False
243,bgg,bang1368,Banggai,-1.41666666667,123.166666667,Papunesia,Celebic,Austronesian,False,False
244,bgi,bagr1243,Bagri,29.5833333333,74.3333333333,Eurasia,Indic,Indo-European,False,False
245,bgl,bugl1243,Buglere,8.5,-81.25,North America,Guaymiic,Chibchan,False,False
246,bgm,bang1363,Bangime,14.9166666667,-3.83333333333,Africa,Bangime,Bangime,False,False
247,bgn,bugu1246,Bugun,27.5,92.5833333333,Eurasia,Western Arunachal,Sino-Tibetan,False,False
248,bgo,bong1285,Bongo,7.5,28.5,Africa,Bongo-Bagirmi,Central Sudanic,False,False
249,bgr,furu1242,Bagiro,4.33333333333,20.5833333333,Africa,Bongo-Bagirmi,Central Sudanic,False,False
250,bgs,baga1272,Baga Sitemu,10.5,-14.5,Africa,Mel,Niger-Congo,False,False
251,bgv,bagv1239,Bagvalal,42.5833333333,46.1666666667,Eurasia,Avar-Andic-Tsezic,Nakh-Daghestanian,False,False
252,bgz,bong1289,Banggi,7.25,117.166666667,Papunesia,North Borneo,Austronesian,False,False
253,bhi,bhil1251,Bhili,22.0,73.0,Eurasia,Indic,Indo-European,False,False
254,bhn,bahi1254,Bahinemo,-4.58333333333,142.833333333,Papunesia,Sepik Hill,Sepik,False,False
255,bho,bhoj1244,Bhojpuri,26.0,84.0,Eurasia,Indic,Indo-European,False,False
256,bhu,mund1320,Bhumij,21.3333333333,86.5,Eurasia,Munda,Austro-Asiatic,False,False
257,bia,bila1255,Bila,1.0,28.75,Africa,Bantoid,Niger-Congo,False,False
258,bid,bidi1241,Bidiya,11.9166666667,18.75,Africa,East Chadic,Afro-Asiatic,False,False
259,big,yulu1243,Binga,8.0,25.0,Africa,Bongo-Bagirmi,Central Sudanic,False,False
260,bii,biri1256,Biri,-20.5,146.5,Australia,Northern Pama-Nyungan,Pama-Nyungan,False,False
261,bik,biak1248,Biak,-1.0,136.0,Papunesia,South Halmahera - West New Guinea,Austronesian,False,False
262,bil,bilu1245,Bilua,-7.75,156.666666667,Papunesia,Bilua,Solomons East Papuan,False,False
263,bim,bima1247,Bima,-8.5,118.5,Papunesia,Central Malayo-Polynesian,Austronesian,False,False
264,bin,bina1277,Binandere,-8.25,148.0,Papunesia,Binanderean,Trans-New Guinea,False,False
265,bio,naii1241,Nai,-3.71666666667,141.266666667,Papunesia,Kwomtari,Kwomtari,False,False
266,biq,None,Bilaan (Koronadal),6.0,125.333333333,Papunesia,Bilic,Austronesian,False,False
267,bir,bero1242,Birom,9.66666666667,8.83333333333,Africa,Platoid,Niger-Congo,False,False
268,bis,biss1248,Bisa,11.5,-0.5,Africa,Eastern Mande,Mande,False,False
269,bit,biat1246,Biatah,1.25,110.0,Papunesia,Land Dayak,Austronesian,False,False
270,biu,bisu1246,Bisu,19.75,100.0,Eurasia,Burmese-Lolo,Sino-Tibetan,False,False
